% Real_Part	Imag_Part
0.3327371812305549	0.43152305534541896
0.23426915357718933	0.49604569518491654
0.14380127233461709	0.54518285058256311
0.061333537502838251	0.57893452153835878
-0.01313405091814724	0.59730070805230351
-0.079436526011434722	0.59954287556994268
-0.13762887674932572	0.58590720227609427
-0.18804103696562957	0.55787075727966806
-0.23100294049415562	0.51691060968957325
-0.26577067997058224	0.45984462697258227
-0.29244558725687925	0.38707704481358896
-0.3126254550262928	0.30546448464868525
-0.32790807595206922	0.22186356791396306
-0.33909152220336092	0.13314865883597296
-0.34519963964678535	0.037314248700935117
-0.3451688815017866	-0.057102850465554605
-0.3379357009878089	-0.14156582663790016
-0.32414541813928155	-0.21771123143372473
-0.30405561373608625	-0.28878768632519664
-0.27602113211584561	-0.34867648406853746
-0.23839681761618239	-0.39125891741996888
-0.18935222173747024	-0.41581676450030353
-0.13022867427397453	-0.4253088580442832
-0.064138687004155287	-0.41913207272902303
0.0058052282935274774	-0.39668328323163815
0.083471043142895385	-0.35499263376260781
0.16895277227087899	-0.29531813195083212
0.2534769687036818	-0.22339844760105787
0.32827018546750719	-0.14497225051803184
0.39589439341064253	-0.056495255301953581
0.4593949120164571	0.043401629493797556
0.51072331726377762	0.14571694313470507
0.54183118513143036	0.24144922488625267
0.55087974109233218	0.33235055346029002
0.54205898733158797	0.42183755183487442
0.51636366489630636	0.50340557567480115
0.47478851483359608	0.57054998064486506
0.41198181632645214	0.62199693910169629
0.32928536918182788	0.66106201329762038
0.2377341953827698	0.68812464374097548
0.14836331691232429	0.70356427094009966
0.056908743817647482	0.70444621198351465
-0.040112648131666602	0.69158005428245173
-0.13049453836891475	0.67096164382931378
-0.20203060632739372	0.64858682661650358
-0.25380967304715063	0.62264542119641486
-0.2915604962111491	0.59107600094384816
-0.31303666021706034	0.55949754408481778
-0.31599174946255548	0.53352902884533726
-0.29512898751394395	0.51413554700398434
-0.25321237345015774	0.49849807764522691
-0.20008665493780176	0.48655942995391438
-0.14559657964348094	0.47826241311489615
-0.085229589009506349	0.47619207510026917
-0.016114425814394259	0.47951215139273495
0.049442210270942213	0.48303348244304883
0.099133619575589998	0.48156690870196639
0.13206197782542323	0.47635611493533891
0.15399620407666736	0.46929283268754685
0.16262971365393661	0.45615997257713964
0.15565592188184502	0.4327404452226668
0.12746696519917317	0.39731214697063566
0.08095728020427681	0.35232337431952188
0.026573732461132857	0.29981263811582692
-0.025236812466281778	0.2418184492060525
